lojista_id;nome_fantasia;segmento;porte;plano_taxa;uf;cidade;regiao;data_cadastro
1;Casa Estrela 1;Alimentação;Média;Standard;CE;Fortaleza;Nordeste;2021-10-09
2;Mercadinho Express 2;Saúde;Pequena;Standard;PA;Belém;Norte;2021-05-12
3;Studio Bom Preço 3;Alimentação;Média;Standard;ES;Vitória;Sudeste;2022-07-17
4;Loja São José 4;Varejo;MEI;Standard;MG;Juiz de Fora;Sudeste;2024-02-26
5;Empório Bella 5;Serviços;Pequena;Standard;MA;São Luís;Nordeste;2021-04-06
6;Point Express 6;Saúde;MEI;Standard;MT;Cuiabá;Centro-Oeste;2024-09-20
7;Point Estrela 7;Varejo;Pequena;Premium;SP;São Paulo;Sudeste;2022-05-28
8;Restaurante Express 8;Alimentação;MEI;Standard;RJ;Duque de Caxias;Sudeste;2024-09-15
9;Boutique Horizonte 9;Alimentação;MEI;Standard;SP;Ribeirão Preto;Sudeste;2024-08-08
10;Center Estrela 10;Saúde;MEI;Premium;PB;João Pessoa;Nordeste;2022-09-04
11;Oficina Prime 11;Alimentação;MEI;Standard;CE;Juazeiro do Norte;Nordeste;2023-06-10
12;Point Horizonte 12;Varejo;Pequena;Standard;SP;Campinas;Sudeste;2021-07-15
13;Studio Central 13;Moda e Beleza;MEI;Standard;BA;Feira de Santana;Nordeste;2021-02-22
14;Studio Real 14;Serviços;MEI;Standard;SP;Ribeirão Preto;Sudeste;2021-07-15
15;Boutique Horizonte 15;Serviços;MEI;Standard;PE;Olinda;Nordeste;2024-01-18
16;Bar do Bairro 16;Alimentação;MEI;Standard;SP;São Paulo;Sudeste;2022-03-02
17;Salão Central 17;Varejo;MEI;Standard;GO;Goiânia;Centro-Oeste;2024-07-07
18;Clínica São José 18;Serviços;Pequena;Standard;RS;Caxias do Sul;Sul;2022-02-15
19;Loja Bella 19;Moda e Beleza;MEI;Standard;MG;Belo Horizonte;Sudeste;2021-05-29
20;Ateliê Central 20;Alimentação;MEI;Standard;BA;Salvador;Nordeste;2021-05-06
21;Studio Nova Era 21;Serviços;MEI;Standard;SP;Campinas;Sudeste;2021-12-01
22;Bar Bom Preço 22;Alimentação;MEI;Standard;RS;Caxias do Sul;Sul;2022-02-26
23;Center Real 23;Educação;Pequena;Standard;PA;Belém;Norte;2023-12-06
24;Point Bom Preço 24;Saúde;MEI;Standard;CE;Juazeiro do Norte;Nordeste;2024-09-17
25;Loja São José 25;Educação;MEI;Standard;SP;Santos;Sudeste;2023-10-07
26;Center do Bairro 26;Varejo;Média;Premium;SC;Blumenau;Sul;2022-03-05
27;Center Familia 27;Alimentação;Pequena;Standard;BA;Salvador;Nordeste;2021-05-13
28;Boutique Vitória 28;Alimentação;MEI;Standard;SP;Ribeirão Preto;Sudeste;2023-06-29
29;Mercadinho Bom Preço 29;Varejo;MEI;Standard;RJ;Duque de Caxias;Sudeste;2024-01-16
30;Empório Express 30;Serviços;MEI;Standard;MS;Campo Grande;Centro-Oeste;2021-08-27
31;Oficina Nova Era 31;Outros;MEI;Premium;SP;São Paulo;Sudeste;2021-04-01
32;Loja Express 32;Alimentação;Média;Standard;PR;Londrina;Sul;2021-04-26
33;Oficina Express 33;Varejo;MEI;Standard;PR;Maringá;Sul;2024-04-03
34;Salão Vitória 34;Moda e Beleza;Média;Standard;SP;Ribeirão Preto;Sudeste;2022-09-07
35;Bar Popular 35;Varejo;Pequena;Standard;SC;Blumenau;Sul;2021-12-08
36;Espaço Express 36;Saúde;MEI;Premium;BA;Feira de Santana;Nordeste;2023-07-12
37;Restaurante Vitória 37;Varejo;MEI;Standard;SP;Santos;Sudeste;2022-03-10
38;Clínica Express 38;Alimentação;Média;Standard;CE;Juazeiro do Norte;Nordeste;2024-03-06
39;Padaria Central 39;Varejo;Média;Standard;PR;Curitiba;Sul;2023-01-16
40;Studio Popular 40;Outros;Média;Premium;MG;Belo Horizonte;Sudeste;2021-03-04
41;Restaurante São José 41;Moda e Beleza;MEI;Standard;GO;Goiânia;Centro-Oeste;2021-01-31
42;Salão Nova Era 42;Alimentação;MEI;Premium;RS;Porto Alegre;Sul;2023-12-17
43;Bar do Bairro 43;Educação;MEI;Standard;RJ;Duque de Caxias;Sudeste;2021-04-05
44;Casa Bom Preço 44;Varejo;Pequena;Premium;SP;Santos;Sudeste;2024-03-08
45;Boutique Horizonte 45;Alimentação;Pequena;Enterprise;SP;São Paulo;Sudeste;2022-11-30
46;Studio Prime 46;Varejo;MEI;Standard;SP;Santos;Sudeste;2022-12-02
47;Center Familia 47;Varejo;MEI;Standard;BA;Feira de Santana;Nordeste;2023-12-08
48;Boutique do Bairro 48;Moda e Beleza;Pequena;Premium;SP;São Paulo;Sudeste;2023-03-24
