maquininha_id;lojista_id;modelo;data_ativacao;status
1;1;Modelo Chip Básico;2021-10-21;Ativa
2;1;Modelo Chip Básico;2021-10-17;Ativa
3;1;Modelo Pro c/ Impressora;2021-10-10;Ativa
4;2;Modelo Pro c/ Impressora;2021-05-18;Ativa
5;3;Modelo Chip Básico;2022-07-29;Inativa
6;4;Modelo Pro c/ Impressora;2024-03-02;Ativa
7;5;Modelo Chip Básico;2021-04-07;Bloqueada
8;5;Modelo Chip Básico;2021-04-14;Ativa
9;6;Modelo Chip Básico;2024-10-04;Ativa
10;7;Modelo Smart Android;2022-06-06;Ativa
11;7;Modelo Chip Básico;2022-06-05;Bloqueada
12;8;Modelo Chip Básico;2024-09-18;Ativa
13;9;Modelo Chip Básico;2024-08-19;Ativa
14;10;Modelo Pro c/ Impressora;2022-09-13;Ativa
15;11;Modelo Chip Básico;2023-06-21;Ativa
16;12;Modelo Smart Android;2021-07-16;Ativa
17;13;Modelo Pro c/ Impressora;2021-02-24;Inativa
18;14;Modelo Smart Android;2021-07-18;Ativa
19;15;Modelo Smart Android;2024-01-19;Ativa
20;16;Modelo Smart Android;2022-03-09;Ativa
21;17;Modelo Chip Básico;2024-07-17;Ativa
22;18;Modelo Smart Android;2022-02-27;Bloqueada
23;18;Modelo Chip Básico;2022-02-19;Ativa
24;19;Modelo Chip Básico;2021-06-02;Ativa
25;20;Modelo Chip Básico;2021-05-17;Ativa
26;21;Modelo Smart Android;2021-12-15;Bloqueada
27;22;Modelo Pro c/ Impressora;2022-02-27;Ativa
28;23;Modelo Smart Android;2023-12-09;Inativa
29;23;Modelo Chip Básico;2023-12-15;Ativa
30;24;Modelo Pro c/ Impressora;2024-09-24;Ativa
31;25;Modelo Pro c/ Impressora;2023-10-21;Inativa
32;26;Modelo Chip Básico;2022-03-11;Ativa
33;26;Modelo Smart Android;2022-03-10;Ativa
34;27;Modelo Chip Básico;2021-05-18;Bloqueada
35;28;Modelo Pro c/ Impressora;2023-07-04;Ativa
36;29;Modelo Smart Android;2024-01-28;Ativa
37;30;Modelo Smart Android;2021-09-10;Bloqueada
38;31;Modelo Chip Básico;2021-04-03;Ativa
39;32;Modelo Pro c/ Impressora;2021-04-30;Ativa
40;32;Modelo Pro c/ Impressora;2021-05-05;Bloqueada
41;33;Modelo Pro c/ Impressora;2024-04-17;Ativa
42;34;Modelo Pro c/ Impressora;2022-09-10;Ativa
43;34;Modelo Chip Básico;2022-09-15;Ativa
44;34;Modelo Pro c/ Impressora;2022-09-20;Ativa
45;35;Modelo Pro c/ Impressora;2021-12-19;Bloqueada
46;35;Modelo Smart Android;2021-12-12;Ativa
47;36;Modelo Pro c/ Impressora;2023-07-17;Bloqueada
48;37;Modelo Chip Básico;2022-03-19;Bloqueada
49;38;Modelo Chip Básico;2024-03-07;Ativa
50;38;Modelo Pro c/ Impressora;2024-03-14;Ativa
51;39;Modelo Chip Básico;2023-01-30;Ativa
52;39;Modelo Smart Android;2023-01-20;Ativa
53;39;Modelo Pro c/ Impressora;2023-01-23;Ativa
54;40;Modelo Smart Android;2021-03-06;Ativa
55;40;Modelo Chip Básico;2021-03-10;Bloqueada
